год попадания,автор/авторы,книга,цикл,аннотация,оценка *,оценка цифрой,этап,№ обзора,Ссылка на выпуск обзора,Ссылка на роман,Перенесено в этот файл из других источников,Комментарии переносов,Редакция строки,,,линк,,время,Review,StoryYear,,,,Служебные отметки,LC
1938,Герасимов Алексей,1. Нихт капитулирен!,Нихт капитулирен!,Школьник из Германии 21-го века оказывается в 1938г. историю. Благородный III рейх совместно с СССР громит Англию. А потом и Францию.,***,3,закончено,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/223147,,,#Н/Д,1938,,,,+++++,
1938,Герасимов Алексей,2. Рейхов сын,Нихт капитулирен!,Школьник из Германии 21-го века оказывается в 1938г. историю. Благородный III рейх совместно с СССР громит Англию. А потом и Францию.,***,3,закончено,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/311175,,,#Н/Д,1938,,,,+++++,
1938,Гор Александр,1. Шаровая молния,Шаровая молния,"И снова попаданец в предвоенные годы. Лежал в аппарате МРТ, и вдруг - очнулся в больнице в 1938 году в чужом теле обыкновенного работяги-""летуна"". Но, пока был не очень вменяемым, успел такого наговорить, что за ним пришли. Задача перед ГГ непростая: и о будущем рассказать, и ""под молотки"" товарищу Ежову или в психушку не загреметь.",***,3,закончено,239,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,завершено Ivlaox 14/02/23,,,http://samlib.ru/a/aleksandr_gor/1938.shtml,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-239-62d8dc3f300c314d7dd9bc02,1938,,,,+++++,
1938,Гор Александр,2. Шаровая молния - 2,Шаровая молния,"Повторная встреча с шаровой молнией принесла Николаю Демьянову новые заботы. Время идёт, война близится. Успеет ли он с новыми помощниками смягчить первый, самый мощный удар германских войск по Советскому государству?",***,3,закончено,313,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/254078,,,https://dzen.ru/a/ZBAIkcPS-HryKuQg,1938,,,,,
1938,Гор Александр,3. Шаровая молния - 3,Шаровая молния,"Продолжение цикла ""Шаровая молния"". После тяжёлого ранения и гибели жены Николаю Демьянову нужно заново налаживать устоявшуюся, было, жизнь. С 1938 года, когда он невероятным образом попал в тело обычного работяги-""летуна"", сделано уже немало, и это положительным образом сказывается на положении на фронтах. Но останавливаться нельзя, надо продолжать подталкивать прогресс, поскольку на 1942 год впереди - не только завершение войны, но и, в отдалённой перспективе, противостояние с нынешними союзниками.",***,3,пишется,366,ссылка на обзор,ссылка,14.12.23 WV,,,,,https://author.today/work/311019,,,https://boosty.to/popal/posts/25f3b8fb-dc12-40de-ac74-f3fe2463bca2,1938,,,,,
1938,Греев Гера,Истинно арийский Попаданец (1-5) Истинно арийский Попаданец,,"В 2012 году в результате того, что человек возомнил себя богом, наступил Армагеддон. Не произошло ничего из того, о чем годами толдычили ученые и красочно стращал Голливуд - небо не упало на землю; вулканы не пробудились; даже самого завалящего астероида, который бы смог упасть на землю, не нашлось - все оказалась проще и намного страшнее. Волна нарушений метрики размыла границу между ""параллельными мирами"", позволяя человеку, с той или с другой стороны, в момент стресса или особенно сильного эмоционального переживания, ""проваливаться"" через стенку страницы, неосознанно уходя от воздействующей на него ситуации. Это история одного из них. Очередной попаданец готовит военную технику для Сталина",**,2,закончено,#Н/Д,#Н/Д,ссылка,,,"Добавил цикл, заменил флибусту Ivlaoox 14/02/23",,,http://samlib.ru/g/gera_g/,,,#Н/Д,1938,,,,+++++,
1938,Гринерс Эва,"Трактир ""Бойкая щучка",,"Оля Петровна Бобик считала себя незаметным, невзрачным существом, а свою жизнь бесцветной и пустой. Она надеялась, что когда-нибудь потом жизнь изменится и наполнится смыслом и красками. В один непрекрасный день, Оля понимает, что жить можно было и по-другому, стоило только захотеть, но поздно… Видимо, захотела очень сильно. Потому что вместо того, чтобы погибнуть в огне, она обнаруживает себя в теле знойной Габриэлы Ловейры. Понимая, что это её второй шанс, Оля принимает другую себя, а так же свою новую судьбу с кучей проблем в придачу. Только теперь она ценит каждый свой день, что бы ни случилось.",***,3,пишется,322,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/263366,,,https://dzen.ru/a/ZDeJnwSmaDw-_oHT,1938,,,,,
1938,Корчевский Юрий,Взлет разрешаю!,,"Павел Игнатов волею судьбы попал из нашей современности в 1938 год. Закончил авиаучилище и воевать начал с первых дней войны. Опыта нет, только прибыл в полк после учебы. Да еще и самолет морально устаревший - СБ. Был сбит, ухитрился выжить и к своим вернуться. После ранения перегонял бомбардировщики на трассе АлСиб, ленд-лизовские ""дугласы"". Потом и воевал на таком, в варианте торпедоносца на Балтике. Потери среди летчиков полка больше, чем среди штурмовиков или истребителей. А как закончилась война, сразу демобилизовали. Как же - на временно оккупированной территории находился. И на гражданке не пропал, в Якутии пассажиров и грузы возил. Подробнее: https://www.labirint.ru/books/813258/",**,2,издано,152,ссылка на обзор,ссылка,,,,,,https://www.labirint.ru/books/813258/,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-152-6104ddebb4685518d3dd2a61,1938,,,,+++++,
1938,Найтов Комбат,"1. Родитель ""дубль-2""","Родитель ""дубль-2""","Без пяти минут военный пенсионер, капитан 1-го ранга, один из руководителей испытательного полигона в Ненёксе, направленный, из-за обострения обстановки, в Сирию для проведения боевых стрельб по морским и наземным целям, вместо Тартуса, попадает в предвоенный Ленинград и становится ""внутренним голосом разума"" у собственного отца... Возможностей у него немного, он может только ""посоветовать"" реципиенту, а что будет делать молодой человек - одному богу известно. Он - фигура самостоятельная. В той жизни, в том 1938-м, добровольно пошел служить в Красную армию, в горнострелковые части, воевал с Финляндией, оборонял зимой 41-го Ленинград и Северный Кавказ в сорок втором. После ранения, закончил Фрунзенское авиационное училище летчиков: ускоренный курс, шесть месяцев, взлет-посадка-Курская дуга...",**,2,закончено,#Н/Д,#Н/Д,ссылка,,,,,,https://fantlab.ru/work1238157,,,#Н/Д,1938,,,,+++++,
1938,Найтов Комбат,"2. Родитель ""дубль-3""","Родитель ""дубль-2""","Без пяти минут военный пенсионер, капитан 1-го ранга, один из руководителей испытательного полигона в Ненёксе, направленный, из-за обострения обстановки, в Сирию для проведения боевых стрельб по морским и наземным целям, вместо Тартуса, попадает в предвоенный Ленинград и становится ""внутренним голосом разума"" у собственного отца... Возможностей у него немного, он может только ""посоветовать"" реципиенту, а что будет делать молодой человек - одному богу известно. Он - фигура самостоятельная. В той жизни, в том 1938-м, добровольно пошел служить в Красную армию, в горнострелковые части, воевал с Финляндией, оборонял зимой 41-го Ленинград и Северный Кавказ в сорок втором. После ранения, закончил Фрунзенское авиационное училище летчиков: ускоренный курс, шесть месяцев, взлет-посадка-Курская дуга...",**,2,закончено,#Н/Д,#Н/Д,ссылка,,,,,,https://fantlab.ru/work1358982,,,#Н/Д,1938,,,,+++++,
1938,Найтов Комбат,Секретный проект (Не надо переворачивать лодку) (трилогия),,Объединение сознаний летчика-пенсионера из 2012 и курсанта Качинской летной школы.,***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/370870,,,#Н/Д,1938,,,,+++++,
1938,Осадчий Алексей,1. Терминатор 1938,Терминатор 1965 - ...,"""Командировка"" Александра, сбежавшего от поработившего планету Скайнета, продолжается. Из спокойного 1969 года попасть в грозовой предвоенный 1938...",***,3,закончено,#Н/Д,#Н/Д,ссылка,,,"поменял дату, добавил цикл Ivlaoox 19/02/23",,,https://zelluloza.ru/books/10235-Terminator_1938-Aleksey_Osadchiy/,,,#Н/Д,1938,,,,+++++,
1938,Осадчий Алексей,2. Терминатор 1965,Терминатор 1965 - ...,"Александр, без малого триста лет отработавший ""космическим шахтёром"" у захватившего землю искусственного интеллекта - Великого Разума, после неудачной ""перепрошивки"" сознания оказался в 1965 году в теле незадачливого бухгалтера Виктора...",***,3,закончено,43,ссылка на обзор,ссылка,,,,,,https://author.today/work/105964,,,https://author.today/post/78338,1965,,,,+++++,
1938,Панов Евгений Владимирович,Инженер страны Советов,,"Кто-то проваливается в прошлое со смартфоном, подключённым к интернету, кому-то в жутко секретной лаборатории закачивают в мозг кучу разной информации, у кого-то за пазухой припрятан ноутбук, в котором, вот чудо, просто огромный объём научной и технической информации, а кто-то при переносе получает сверхспособности. А что делать, если ты обычный рядовой российский инженер и попал в прошлое в одних трусах, часах и пьяный и из всего полезного у тебя лишь увлечение молодости?",***,3,закончено,196,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил статус Ivlaoox 18/02/23,,,https://author.today/work/168935,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-196-61ef968177625004f97e8b08?&,1938,,,,+++++,
1938,Панченко Андрей Алексеевич,1. Китобой,Китобой,"История мирового китобойного промысла, продолжалась почти столетие. К ней можно относится по разному. Кто то осуждает действия китобоев, кто то нет. Бесспорно одно, в результате действий человека самые большие животные планеты едва совсем не исчезли, а несколько видов китов оказались утраченными навсегда. Однако и у этого промысла были свои герои, и даже Герои социалистического труда! В этой книге рассказано о нашем современнике, который, перенесся из своего времени на борт китобойного судна в самый разгар промысла китов, в дружный коллектив советских китобоев. И не важно что ты ненавидишь море, на берег ты сойдёшь только через восемь месяцев, когда закончится путина! Все совпадения случайны, неточности сделаны специально. Я не ставлю перед собой целью дословно переписать всю славную историю флотилии, описанной в книге. Считайте этот мир параллельным нашему, а сюжет полностью художественным вымыслом автора.",****,4,закончено,331,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/268626,,,https://dzen.ru/a/ZGWyMHhSKm279nt8,1938,,,,,
1938,Панченко Андрей Алексеевич,2. Гарпунёр,Китобой,"История мирового китобойного промысла, продолжалась почти столетие. К ней можно относится по разному. Кто то осуждает действия китобоев, кто то нет. Бесспорно одно, в результате действий человека самые большие животные планеты едва совсем не исчезли, а несколько видов китов оказались утраченными навсегда. Однако и у этого промысла были свои герои, и даже Герои социалистического труда! В этой книге рассказано о нашем современнике, который, перенесся из своего времени на борт китобойного судна в самый разгар промысла китов, в дружный коллектив советских китобоев. И не важно что ты ненавидишь море, на берег ты сойдёшь только через восемь месяцев, когда закончится путина! Все совпадения случайны, неточности сделаны специально. Я не ставлю перед собой целью дословно переписать всю славную историю флотилии, описанной в книге. Считайте этот мир параллельным нашему, а сюжет полностью художественным вымыслом автора.",***,3,закончено,338,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/277810,,,https://dzen.ru/a/ZIqg2qaW3kIxmLf5,1938,,,,,
1938,Панченко Андрей Алексеевич,3. Капитан,Китобой,Та же.,***,3,закончено,345,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/283779,,,https://dzen.ru/a/ZLTCQc1mam-xadjY,1938,,,,,
1938,Панченко Андрей Алексеевич,4. Гвардеец,Китобой,"История Виктора Жохова продолжается. Прославленный китобой на войне! В этой книге рассказано о нашем современнике, который, перенесся из своего времени на борт китобойного судна в самый разгар промысла китов, в дружный коллектив советских китобоев. И не важно что ты ненавидишь море, на берег ты сойдёшь только через восемь месяцев, когда закончится путина! Герой адаптировался в новом для себя мире, нашёл свое место и призвание, но волею судьбы война оторвала его от любимого дела, дома и семьи. Все совпадения случайны, неточности сделаны специально. Я не ставлю перед собой целью дословно переписать всю славную историю флотилии, описанной в книге. Считайте этот мир параллельным нашему, а сюжет полностью художественным вымыслом автора.",***,3,закончено,349,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/289877,,,https://boosty.to/popal/posts/49ee11cc-d8dd-45a6-801c-50b5d3ff83b1,1938,,,,,
1938,Панченко Андрей Алексеевич,5. Адмирал,Китобой,"Война закончилась. Виктор Жохов на распутье и больше не хочет брать оружие в руки, слишком многих друзей он потерял, слишком устал... Но море зовёт, а с ним он расставаться не готов. Впереди новые приключения, испытания и даже бои!",***,3,закончено,355,ссылка на обзор,ссылка,19.10.23 WV,,,,,https://author.today/work/296329,,,https://boosty.to/popal/posts/40093f58-895b-4dbc-bdea-9f2fbd84f12c,1938,,,,,
1938,"Переяславцев Алексей, Иванов Михаил",1. Боевые репетиции,Боевой оркестр,"Пенсионер получает возможность матрицировать всякие ништяки, от оружия до банки солидола. Переносится в 1938 год с целью предотвратить ВОВ.",***,3,закончено,#Н/Д,#Н/Д,ссылка,,,поменял ссылку Ivlaoox 18/02/23,,,http://samlib.ru/p/perejaslawcew_a/orchestrdoc.shtml,,,#Н/Д,1938,,,,+++++,
1938,"Переяславцев Алексей, Иванов Михаил",2. Зимний гастрольный тур,Боевой оркестр,"Пенсионер получает возможность матрицировать всякие ништяки, от оружия до банки солидола. Переносится в 1938 год с целью предотвратить ВОВ.",***,3,закончено,52,ссылка на обзор,ссылка,,,поменял ссылку Ivlaoox 18/02/23,,,http://samlib.ru/p/perejaslawcew_a/orchestrdoc-1.shtml,,,https://author.today/post/86794,1938,,,,+++++,
1938,"Переяславцев Алексей, Иванов Михаил",3. Морская увертюра,Боевой оркестр,"Пенсионер получает возможность матрицировать всякие ништяки, от оружия до банки солидола. Переносится в 1938 год с целью предотвратить ВОВ.",***,3,закончено,34,ссылка на обзор,ссылка,,,,,,http://samlib.ru/p/perejaslawcew_a/overture002-17dec.shtml,,,https://author.today/post/71443,1938,,,,+++++,
1938,"Переяславцев Алексей, Иванов Михаил",4. Громовая симфония,Боевой оркестр,"Пенсионер получает возможность матрицировать всякие ништяки, от оружия до банки солидола. Переносится в 1938 год с целью предотвратить ВОВ.",***,3,застой,109,ссылка на обзор,ссылка,,,,,,http://samlib.ru/p/perejaslawcew_a/thunderdoc-1.shtml,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-109-5fdde6ce3713a37b86d9ce45,1938,,,,+++++,
1938,Плужников Владимир,Капитан-лейтенант,,Попаданец без ноутбуков и эскадр. Без ничего. Ему осталось жить до августа 1941. Но он меняет судьбу.,**,2,пишется,#Н/Д,#Н/Д,ссылка,,,,,,http://samlib.ru/p/pluzhnikow_w_a/kapley.shtml,,,#Н/Д,1938,,,,+++++,
1938,Проценко Владимир,Успеть на войну,,Отставник проваливается в прошлое.,**,2,закончено,#Н/Д,#Н/Д,ссылка,,,,,,http://samlib.ru/p/procenko_w_w/000001.shtml,,,#Н/Д,1938,,,,+++++,
1938,Русаков Павел,Меч-кладенец Страны Советов. История Ядерной Второй Мировой,,"История об альтернативном ядерном проекте СССР. О достижении безоговорочного ядерного превосходства к 1942 году. О сокрушительном ядерном ударе по фашистской Германии, затем - по бывшим союзникам, начавшим войну против СССР, по плану ""Немыслимое"".",***,3,пишется,#Н/Д,#Н/Д,ссылка,,,,,,http://samlib.ru/p/pawelrusakow/jantoiputeshestwennikiprikljuchenijawsskr.shtml,,,#Н/Д,1938,,,,+++++,
1938,Рыжий,1. Подпоручник из Варшавы,Мазурка Домбровского,"Все мы любим фантастику. Кто-то интересуется магами, кто-то перемещениями во времени, а кто-то и различными параллельными и перпендикулярными мирами. А вот я (и наш герой) интересуется Второй Мировой Войной. И он не мог даже представить, что однажды ему придется примерить мундир Войска Польского и одним из первых столкнуться с Вермахтом. У героя нет ноутбука или смартфона с кучей информации по этой войне, он не обладает академическими знаниями и не служил в спецназе. Он - обычный студент, интересующийся историей, жертва российского общего образования, скромный парень, и, вроде как просто неплохой человек. Все герои вымышлены, все сходства с реальными людьми и событиями не случайны.",***,3,закончено,201,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,,,,https://author.today/work/167476,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-201-620a012639453501da619097,1938,,,,+++++,
1938,Рыжий,2. Поручик из Варшавы,Мазурка Домбровского,"Подпоручик Домбровский возвращается из Парижа. Новое звание. Новое назначение. Новые приключения. Что ждёт нашего героя? Давайте, узнаем!",***,3,закончено,#Н/Д,#Н/Д,ссылка,,,новинка pesh 19/2,,,https://author.today/work/195129,,,,,,,,+++++,
1938,Рыжий,3. Поручик из Варшавы-2,Мазурка Домбровского,"Война началась. 1 сентября 1939 года, Германия вторглась в Польшу. Только на этот раз, история повернула немного в другую сторону...",***,3,закончено,363,ссылка на обзор,ссылка,14.12.23 WV,,,,,https://author.today/work/253898,,,https://boosty.to/popal/posts/d2af75f6-06b7-4a13-880d-a8de26b64d6b,1938,,,,,
1937,Andrey,Долины смертных теней,,"Нормальному, адекватному во всех отношениях человеку непросто видеть зло, и нельзя ему пройти равнодушно мимо беды и горя другого , но что ему делать , когда он попадает туда, где такое поведение норма , где люди существуют всего в двух возможных вариантах неизбежного : уже в концлагере, и ожидая когда тебя туда поместят ? Выбор действий очевиден - выжить и вырваться из этого , всеми проклятого ада , при этом не забыв что ты человек ! Это очень трудно , и сам главный герой это поймёт далеко не сразу . Этот роман о борьбе щепки с топором , рубящим лес ! Предупреждение : лицам страдающим ностальгией по тридцатым годам двадцатого века , репрессиям и пыткам в подвалах, а также мечтающим о вкусном эскимо из ГУЛАГа читать не советую ! Всем нормальным людям буду благодарен за замечания и предложения! Всем добра !",***,3,закончено,170,ссылка на обзор,ссылка,,,,,,https://author.today/work/148738,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-170-614eb7b563b63053b22101a1,1937,,,,+++++,
1937,Айзенберг Александр (Берг А. А.),Ленинградец,,"Ветеран труда умирает в 2014 году, но его сознание возвращается в него самого на 77 лет назад, в теперь уже такой далёкий 1937 год. У него появился шанс прожить свою жизнь заново, вот только как? Можно просто тупо её повторить, сидя на попе ровно и не делая ни каких попыток изменить ход времени и судьбы, а можно попробовать всё кардинально изменить. Можно попробовать спасти свою большую семью, из которой во время блокады Ленинграда выжил только он и его двоюродная сестра. Шанс изменить историю войны и спасти не только свою семью и невесту, но ещё и почти миллион погибших во время блокады от голода, холода, авианалетов и обстрелов, ленинградцев. Может ли обычный человек это сделать, вы скажите нет, ведь он, не бывший военный, а если он танкостроитель, который всю свою жизнь проектировал и строил танки. Что будет, если летом 41-го года хваленый немецкий панцерваффе столкнется в жарких июньских и августовских боях не с уже технически и морально устаревшими Т-26 и БТ, а с армадой новейших",**,2,закончено,163,ссылка на обзор,ссылка,,,просмотрено pesh 14/02/23,,,https://author.today/work/145388,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-163-612dbd3b841c166c129bd461,1937,,,,+++++,
1937,Алексеев Павел,Без жалости,,"Попаданец в 1937-у год, в тело подростка. Впереди Великая Отечественная война. Как всегда МС.",**,2,застой,#Н/Д,#Н/Д,ссылка,,,просмотрено pesh 14/02/23,,,http://samlib.ru/a/alekseew_pawel_aleksandrowich/bezzhalosti.shtml,,,#Н/Д,1937,,,,+++++,
1937,Берг Александр,1. Отдельный танковый,Антиблицкриг,"Самый обычный водитель, не спецназовец, не ученый, не инженер, а обычный работяга, родившийся и выросший в СССР и переживший горбачевскую катастройку, не страдающей либеральной заразой и несуществующим комплексом вины, выдуманным либералами, в результате автомобильной аварии погибает и его сознание подселяется к кадровому командиру РККА. В результате слияния разумов командир отдельного танкового батальона получает все знания погибшего шофера, в том числе и о будущем своей страны. К черту все существующие уставы и приказы начальства, так как теперь у него есть ЦЕЛЬ и он идет к ней напролом, не глядя по сторонам и не боясь ответственности и начальства, и поэтому даже один человек способен изменить всю историю прошедшей войны. Теперь война пойдет по-другому, потому что ОТДЕЛЬНЫЙ ТАНКОВЫЙ БАТАЛЬОН идет в рейд по тылам противника, а на знания его командира наложено послезнание потомка и отброшены в сторону любые ограничения и рамки.",***,3,закончено,99,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,завершено pesh 14/02/23,,,https://author.today/work/97384,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-99-5faf7bd270f5da1bdafb5af3,,,,,+++++,
1937,Берг Александр,2. Танкистка,Антиблицкриг,"Молодой парень, танкист-контрактник, погибает во время первого штурма Грозного, но его сознание неведомыми путями попадает в тело молодой девушки, погибшей от тяжёлой контузии в первый день войны. Неизвестно, кто так зло подшутил над нашим героем, засунув его в женское тело. Да, наш герой попал на Великую Отечественую Войну, но он теперь в женском теле и ему не обязательно идти на фронт. Зная, как будут развиваться события, он вполне может уехать в город, который не подвергнется оккупации и не будет бомбиться противником. Кто его за это осудит, кто знает, кто он есть на самом деле. Но наш герой не хочет себе такой судьбы, и раз он попал на ВОВ, даже и в женском теле, то он не упустит свой шанс повоевать, а раз он танкист, то и воевать будет на танке, на самом грозном танке начального периода войны, тяжёлом танке прорыва КВ-1.",**,2,закончено,204,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,завершено pesh 14/02/23,,,https://author.today/work/174969,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-204-621490ed068085323f118c4e?&,1941,,,,+++++,
1937,Берг Александр,3. По прозвищу Малюта,Антиблицкриг,"Капитан Российского спецназа погибает спасая молодую женщину с ребёнком от пьяного водителя, но он получает второй шанс на жизнь вселившись в тело погибшего от несчастного случая молодого лейтенанта. Лето 1937 года. Киевский военный округ, Новоиспечённый лейтенант Скуратов принимает под своё командование взвод бойцов. У него есть всего четыре года, что бы сделать из своих бойцов отъявленных головорезов, и если у него получится, то жарким летом 41-го года хвалёный немецкий Бранденбург умоется кровью в лесах Украины и Белоруссии, а лесные братья станут манекенами для отработки умений спецназа РККА. Он один против всего мира, но он русский, а русские не сдаются.",***,3,закончено,237,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,завершено pesh 14/02/23,,,https://author.today/work/204171,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-237-62ce5dc9bd5f802af173a84f?&,1937,,,,+++++,
1937,Берг Александр,4. Моя фамилия Павлов,Антиблицкриг,"Полный тёзка генерал-полковника Павлова, сам, генерал-майор в отставке, бывший командир мотострелковой дивизии, после гибели в ядерном апокалипсисе, по воле высших сил оказывается в теле своего тёзки в далёком 37-ом. Зная ход истории, он имеет все шансы изменить её и времени для этого у него достаточно, впрочем, как и возможностей.",***,3,закончено,293,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,пишется pesh 14/02/23,,,https://author.today/work/235279,,,https://dzen.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-293-63bc32c7a899b50db4d3e3b3,1937,,,,+++++,
1937,Берг Александр,Ленинградец,,"Ветеран труда умирает в 2014 году, но его сознание возвращается в него самого на 77 лет назад, в теперь уже такой далёкий 1937 год. У него появился шанс прожить свою жизнь заново, вот только как? Можно просто тупо её повторить, сидя на попе ровно и не делая ни каких попыток изменить ход времени и судьбы, а можно попробовать всё кардинально изменить. Можно попробовать спасти свою большую семью, из которой во время блокады Ленинграда выжил только он и его двоюродная сестра. Шанс изменить историю войны и спасти не только свою семью и невесту, но ещё и почти миллион погибших во время блокады от голода, холода, авианалетов и обстрелов, ленинградцев. Может ли обычный человек это сделать, вы скажите нет, ведь он, не бывший военный, а если он танкостроитель, который всю свою жизнь проектировал и строил танки. Что будет, если летом 41-го года хваленый немецкий панцерваффе столкнется в жарких июньских и августовских боях не с уже технически и морально устаревшими Т-26 и БТ, а с армадой новейших",***,3,закончено,163,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,завершено pesh 14/02/23,,,https://author.today/work/145388,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-163-612dbd3b841c166c129bd461,,,,,+++++,
1937,Берсенёв Валентин,Вопросы судьбе не задают,,"А хотим ли мы стать попаданцами, тем более в суровое время? Наверное нет, а придётся. Девушка Ирина делает шаг и .. переносится в 1937 год. Как жить, что стоит или совсем не стоит делать? Труден выбор.",***,3,закончено,#Н/Д,#Н/Д,ссылка,,,просмотрено pesh 14/02/23,,,https://www.litmir.me/bd/?b=680966&p=1,,,#Н/Д,1937,,,,+++++,
1937,Бриз Илья,Зверь над державой (2 книги),,"Майор ФСБ Евгений Воропаев... Спецназовец, подорвавшийся на мине в Чечне. Безногий однорукий инвалид. Был Судьба и наука дали ему ещё один шанс, и теперь он - Егор Синельников, младший лейтенант НКВД в параллельном мире. ""Опричник"" Берии. Вернувший молодость и здоровье, не только сохранивший прежние знания и умения, но получивший еще очень многое... Но СССР тридцать седьмого года получил из будущего не только Егора. Нескончаемым потоком идет информация об оружии, технологиях - обо всем, что сможет помочь Советскому Союзу избежать чудовищных потерь в Великой Отечественной войне. Что будет делать Сталин, узнав, что в конце XX века его СССР развалится? Что вообще может сделать современная информация с тем миром, учитывая, что время там идет быстрее, чем у нас?",**,2,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/s/15902,,,#Н/Д,1937,,,,+++++,
1937,Леккор Михаил,1. Грустное начало попаданства,Великий князь в СССР,"С. Л. Романов - типичный неудачник по жизни. Ему не только ""не перло"" по современной жизни, но и попал он попаданцем в тело великого князя, но в СССР, да еще на волне сталинских репрессий, в 1937 год. В итоге, еще не охнул в новом времени, а ему уже попало в морду. и не только. Особенно в почки оказалось больно. А еще соседний зэк в камере сообщил, что им всех ждет неизбежный расстрел. Хоть волком вой!",**,2,закончено,359,ссылка на обзор,ссылка,19.10.23 WV,,,,,https://author.today/work/303259,,,https://boosty.to/popal/posts/b60be186-f2db-4ec1-af62-e839ce3eeb73,1937,,,,,
1937,Леккор Михаил,2. Москва(-90),Великий князь в СССР,"Попаданец Сергей Логинович сумел избежать расстрела. Более того, он прочно влез в обойму сталинского руководства. Но как раз это и не позволяет расслабляться. ибо председатель Комитета во времена И. В. Сталина, это, главным образом, работа. Трудитесь товарищ Романов и счастье вам в руки!",**,2,закончено,367,ссылка на обзор,ссылка,31.01.24 WV,,,,,https://author.today/work/311940,,,https://boosty.to/popal/posts/81591c8b-b9a0-4e32-bba2-e85463cfdd91,,,,,,
1937,Леккор Михаил,3. Пришла война...,Великий князь В СССР,"во второй четверти ХХ века жизнь делилась на два периода - довоенный и во время войны. и вот он пришла, страшная и кровавая Великая Отечественная война. в отличие от остальных попаданец С. Л. Романов хорошо знал, как и когда эта война произойдет. но как будет воевать и выживет ли он не знал даже попаданец. а военные действия все шли...",**,2,пишется,370,ссылка на обзор,ссылка,31.01.24 WV,,,,,https://author.today/work/320844,,,https://boosty.to/popal/posts/7761fff6-adab-4def-81c3-01a2eefb3d87,,,,,,
